Category ID,Category name,UNIX time,Date (America/Toronto HAE),Text
17,"ant-32",1678828256,"14 mars 2023 (mar.) 17:10:56","kss_prepretest"
17,"ant-32",1678828291,"14 mars 2023 (mar.) 17:11:31","ospan_prettest"
17,"ant-32",1678829356,"14 mars 2023 (mar.) 17:29:16","kss-midprettest"
17,"ant-32",1678829390,"14 mars 2023 (mar.) 17:29:50","ant_pretest"
17,"ant-32",1678830101,"14 mars 2023 (mar.) 17:41:41","kss_postpretest"
17,"ant-32",1678830127,"14 mars 2023 (mar.) 17:42:07","axcpt"
17,"ant-32",1678830892,"14 mars 2023 (mar.) 17:54:52","kss1"
17,"ant-32",1678831378,"14 mars 2023 (mar.) 18:02:58","kss2"
17,"ant-32",1678831883,"14 mars 2023 (mar.) 18:11:23","kss3"
17,"ant-32",1678831918,"14 mars 2023 (mar.) 18:11:58","intervention_urbaine"
17,"ant-32",1678832365,"14 mars 2023 (mar.) 18:19:25","kss4"
17,"ant-32",1678832775,"14 mars 2023 (mar.) 18:26:15","kss5"
17,"ant-32",1678832802,"14 mars 2023 (mar.) 18:26:42","ant_posttest"
17,"ant-32",1678833361,"14 mars 2023 (mar.) 18:36:01","kss_midpostest"
17,"ant-32",1678833409,"14 mars 2023 (mar.) 18:36:49","ospan_posttest"
17,"ant-32",1678834323,"14 mars 2023 (mar.) 18:52:03","kss_postpostest"
