Category ID,Category name,UNIX time,Date (America/Toronto HAE),Text
3,"38",1680273400,"31 mars 2023 (ven.) 10:36:40","KSS pré-prétest"
3,"38",1680273461,"31 mars 2023 (ven.) 10:37:41","ANT-prétest"
3,"38",1680274002,"31 mars 2023 (ven.) 10:46:42","KSS mid-prétest"
3,"38",1680274042,"31 mars 2023 (ven.) 10:47:22","OSPAN prétest"
3,"38",1680275185,"31 mars 2023 (ven.) 11:06:25","KSS post-prétest"
3,"38",1680275222,"31 mars 2023 (ven.) 11:07:02","AX-CPT"
3,"38",1680275949,"31 mars 2023 (ven.) 11:19:09","KSS1"
3,"38",1680276442,"31 mars 2023 (ven.) 11:27:22","KSS2"
3,"38",1680276936,"31 mars 2023 (ven.) 11:35:36","KSS3"
3,"38",1680276976,"31 mars 2023 (ven.) 11:36:16","Intervention (Urbain)"
3,"38",1680277889,"31 mars 2023 (ven.) 11:51:29","KSS5"
3,"38",1680277924,"31 mars 2023 (ven.) 11:52:04","OSPAN posttest"
3,"38",1680278709,"31 mars 2023 (ven.) 12:05:09","KSS mid-posttest"
3,"38",1680278747,"31 mars 2023 (ven.) 12:05:47","ANT posttest"
3,"38",1680279230,"31 mars 2023 (ven.) 12:13:50","KSS post-posttest"
